,m_bins,theta_bins,v0_bins,vf_bins,KE_bins
0,4,6,5,9,5
1,9,8,3,8,7
2,8,8,3,9,8
3,4,9,8,3,1
4,9,8,8,8,7
5,5,5,9,4,1
6,4,5,7,6,3
7,9,7,7,2,1
8,2,1,8,1,1
9,7,5,9,7,5
10,1,5,5,9,4
11,9,2,8,9,9
12,9,3,7,7,5
13,1,5,3,8,3
14,5,4,8,7,4
15,8,7,5,9,7
16,7,8,1,9,7
17,1,8,2,3,1
18,5,8,4,1,1
19,8,9,1,6,4
20,7,8,5,7,4
21,6,9,8,3,1
22,5,4,2,2,1
23,6,3,7,8,5
24,2,9,2,10,5
25,4,1,9,6,3
26,1,2,7,7,2
27,5,9,8,4,2
28,9,1,2,1,1
29,1,4,2,1,1
30,5,6,7,8,5
31,1,6,9,1,1
32,7,1,5,7,5
33,6,3,2,8,5
34,9,8,1,9,9
35,2,7,5,1,1
36,4,6,1,8,5
37,9,7,4,5,2
38,4,4,6,5,2
39,4,3,5,7,4
40,8,3,3,2,1
41,7,9,10,4,2
42,7,2,8,7,5
43,7,3,4,9,8
44,6,8,6,6,3
45,2,3,2,9,4
46,8,1,5,4,2
47,3,5,1,8,4
48,8,2,9,9,8
49,6,6,6,3,1
50,3,8,2,7,3
51,1,6,6,8,3
52,9,2,5,5,3
53,1,2,9,9,3
54,8,4,4,6,3
55,2,1,9,9,4
56,5,7,3,4,1
57,5,4,9,8,5
58,1,5,2,8,3
59,3,5,5,3,1
60,6,8,8,3,1
61,7,8,1,8,6
62,7,5,4,7,5
63,9,8,2,5,3
64,7,2,9,6,3
65,1,7,7,8,3
66,6,9,6,5,3
67,1,4,1,1,1
68,1,3,2,9,4
69,1,4,4,6,2
70,1,3,7,9,4
71,2,4,3,6,2
72,4,6,5,9,5
73,2,3,8,7,3
74,2,3,9,7,3
75,5,1,9,8,5
76,1,3,1,4,1
77,3,9,5,4,1
78,6,7,6,5,2
79,4,3,9,9,6
80,3,2,4,9,5
81,3,3,5,9,4
82,3,7,9,7,3
83,5,3,4,9,6
84,4,3,3,8,5
85,8,1,7,9,8
86,5,1,7,3,1
87,4,3,8,4,1
88,7,5,5,9,7
89,3,6,4,7,3
90,8,8,8,7,6
91,8,5,8,9,8
92,9,8,4,5,3
93,1,9,5,5,2
94,1,4,8,5,1
95,7,5,6,1,1
96,8,2,6,7,6
97,9,5,5,9,10
98,7,8,7,4,2
99,4,4,2,5,2
100,1,2,9,9,4
101,3,5,1,9,5
102,8,5,9,2,1
103,1,6,9,9,4
104,3,5,9,4,1
105,2,9,8,8,4
106,3,8,3,5,2
107,6,6,3,8,5
108,9,8,7,1,1
109,9,1,4,2,1
110,10,9,3,6,5
111,7,3,7,7,4
112,8,3,8,3,1
113,9,3,8,2,1
114,6,7,9,4,1
115,1,2,4,7,2
116,4,3,2,5,2
117,7,2,3,2,1
118,9,6,9,1,1
119,5,5,1,9,7
120,9,6,7,3,2
121,6,8,2,3,1
122,3,3,5,8,4
123,3,3,8,9,5
124,1,7,8,2,1
125,6,1,4,9,7
126,2,5,7,1,1
127,8,7,3,9,8
128,7,5,5,4,2
129,6,6,3,9,7
130,6,6,2,4,2
131,7,7,3,6,3
132,4,3,8,9,5
133,8,9,4,8,7
134,1,4,1,6,2
135,9,1,8,4,2
136,1,1,4,5,2
137,4,9,5,2,1
138,4,6,6,6,3
139,1,7,5,2,1
140,7,7,6,8,6
141,5,3,7,9,6
142,1,7,9,9,4
143,8,5,9,9,8
144,7,8,9,8,6
145,6,6,2,8,6
146,6,1,1,9,7
147,2,1,9,8,4
148,3,5,9,6,2
149,1,5,6,1,1
150,5,7,5,5,2
151,2,5,6,2,1
152,9,9,5,8,6
153,9,1,3,5,3
154,3,4,4,6,3
155,3,2,9,3,1
156,9,5,4,3,1
157,1,7,6,6,2
158,5,4,9,6,3
159,5,7,3,8,5
160,5,3,5,4,2
161,9,1,3,9,8
162,7,8,1,1,1
163,6,7,7,3,1
164,9,9,3,7,5
165,1,4,1,9,3
166,2,1,9,7,3
167,5,6,7,5,3
168,2,7,2,1,1
169,9,3,2,2,1
170,7,5,2,6,3
171,6,3,5,8,5
172,7,3,4,8,5
173,1,3,1,8,3
174,5,1,9,7,4
175,2,8,1,3,1
176,6,4,9,7,4
177,4,3,3,8,5
178,8,9,2,4,2
179,1,8,8,8,3
180,3,3,7,8,4
181,6,4,1,1,1
182,8,3,1,9,9
183,3,8,4,8,4
184,2,4,1,9,4
185,7,8,4,7,5
186,5,5,4,3,1
187,3,7,5,7,3
188,3,5,9,2,1
189,3,7,7,8,4
190,5,6,4,1,1
191,2,9,5,9,4
192,9,4,3,2,1
193,4,2,6,5,2
194,4,3,4,7,4
195,1,8,3,4,1
196,1,9,2,3,1
197,9,8,2,7,5
198,1,8,7,8,3
199,4,7,2,1,1
200,5,5,5,8,6
201,8,1,9,7,5
202,2,7,1,8,3
203,6,8,6,9,7
204,6,2,6,8,5
205,4,3,4,8,5
206,7,3,7,7,5
207,7,2,6,3,1
208,8,6,8,1,1
209,6,9,9,5,2
210,2,3,9,2,1
211,9,9,8,5,2
212,4,9,9,8,4
213,9,7,3,3,1
214,4,7,4,1,1
215,7,5,9,8,6
