m_bins,theta_bins,v0_bins,vf_bins,KE_bins
1,2,2,2,2
2,2,1,2,2
2,2,1,2,2
1,2,2,1,1
2,2,2,2,2
2,2,2,1,1
1,1,2,1,1
2,2,2,1,1
1,1,2,1,1
2,1,2,2,2
1,2,2,2,2
2,1,2,2,2
2,1,2,1,2
1,1,1,2,1
2,1,2,2,2
2,2,2,2,2
2,2,1,2,2
1,2,1,1,1
1,2,1,1,1
2,2,1,1,2
2,2,1,2,2
2,2,2,1,1
1,1,1,1,1
2,1,2,2,2
1,2,1,2,2
1,1,2,1,1
1,1,2,2,1
2,2,2,1,1
2,1,1,1,1
1,1,1,1,1
1,2,2,2,2
1,2,2,1,1
2,1,1,2,2
2,1,1,2,2
2,2,1,2,2
1,2,1,1,1
1,2,1,2,2
2,2,1,1,1
1,1,2,1,1
1,1,2,2,2
2,1,1,1,1
2,2,2,1,1
2,1,2,2,2
2,1,1,2,2
2,2,2,1,1
1,1,1,2,2
2,1,1,1,1
1,2,1,2,2
2,1,2,2,2
2,2,2,1,1
1,2,1,2,2
1,2,2,2,1
2,1,1,1,1
1,1,2,2,2
2,1,1,1,2
1,1,2,2,2
1,2,1,1,1
2,1,2,2,2
1,1,1,2,1
1,1,1,1,1
2,2,2,1,1
2,2,1,2,2
2,1,1,2,2
2,2,1,1,1
2,1,2,1,2
1,2,2,2,2
2,2,2,1,1
1,1,1,1,1
1,1,1,2,2
1,1,1,1,1
1,1,2,2,2
1,1,1,1,1
1,2,2,2,2
1,1,2,2,1
1,1,2,2,1
1,1,2,2,2
1,1,1,1,1
1,2,2,1,1
2,2,2,1,1
1,1,2,2,2
1,1,1,2,2
1,1,1,2,2
1,2,2,2,2
2,1,1,2,2
1,1,1,2,2
2,1,2,2,2
2,1,2,1,1
1,1,2,1,1
2,1,2,2,2
1,2,1,2,1
2,2,2,2,2
2,2,2,2,2
2,2,1,1,1
1,2,1,1,1
1,1,2,1,1
2,1,2,1,1
2,1,2,2,2
2,2,2,2,2
2,2,2,1,1
1,1,1,1,1
1,1,2,2,2
1,1,1,2,2
2,1,2,1,1
1,2,2,2,2
1,2,2,1,1
1,2,2,2,2
1,2,1,1,1
2,2,1,2,2
2,2,2,1,1
2,1,1,1,1
2,2,1,1,2
2,1,2,2,2
2,1,2,1,1
2,1,2,1,1
2,2,2,1,1
1,1,1,2,1
1,1,1,1,1
2,1,1,1,1
2,2,2,1,1
2,1,1,2,2
2,2,2,1,1
2,2,1,1,1
1,1,1,2,2
1,1,2,2,2
1,2,2,1,1
2,1,1,2,2
1,1,2,1,1
2,2,1,2,2
2,2,2,1,1
2,2,1,2,2
2,2,1,1,1
2,2,1,1,2
1,1,2,2,2
2,2,1,2,2
1,1,1,1,1
2,1,2,1,1
1,1,1,1,1
1,2,2,1,1
1,2,2,1,1
1,2,1,1,1
2,2,2,2,2
2,1,2,2,2
1,2,2,2,2
2,1,2,2,2
2,2,2,2,2
2,2,1,2,2
2,1,1,2,2
1,1,2,2,2
1,1,2,1,1
1,1,2,1,1
2,2,1,1,1
1,1,2,1,1
2,2,1,2,2
2,1,1,1,1
1,1,1,1,1
1,1,2,1,1
2,2,1,1,1
1,2,2,1,1
1,1,2,1,1
2,2,1,2,2
1,1,1,1,1
2,1,1,2,2
2,2,1,1,1
2,2,2,1,1
2,2,1,1,2
1,1,1,2,2
1,1,2,2,1
2,2,2,1,1
1,2,1,1,1
2,1,1,1,1
2,1,1,1,2
2,1,1,2,2
2,1,1,2,2
1,1,1,2,1
2,1,2,2,2
1,2,1,1,1
2,1,2,2,2
1,1,1,2,2
2,2,1,1,1
1,2,2,2,2
1,1,2,2,2
2,1,1,1,1
2,1,1,2,2
1,2,1,2,2
1,1,1,2,2
2,2,1,2,2
2,2,1,1,1
1,2,1,2,1
1,2,2,1,1
1,2,2,2,2
2,2,1,1,1
1,2,1,2,2
2,1,1,1,1
1,1,2,1,1
1,1,1,2,2
1,2,1,1,1
1,2,1,1,1
2,2,1,2,2
1,2,2,2,1
1,2,1,1,1
2,1,1,2,2
2,1,2,2,2
1,2,1,2,1
2,2,2,2,2
2,1,2,2,2
1,1,1,2,2
2,1,2,2,2
2,1,2,1,1
2,2,2,1,1
2,2,2,1,1
1,1,2,1,1
2,2,2,1,1
1,2,2,2,2
2,2,1,1,1
1,2,1,1,1
2,1,2,2,2
1,2,2,2,1
2,1,1,2,2
1,2,2,1,1
2,1,2,1,2
1,2,1,2,1
1,2,1,2,2
2,1,2,2,2
1,2,1,1,1
2,2,1,1,1
1,2,2,1,1
1,2,2,2,2
2,1,2,2,2
1,2,2,1,1
1,1,1,1,1
1,2,2,1,1
2,1,2,2,2
1,1,1,2,2
2,2,2,1,1
2,2,1,1,2
2,1,1,1,1
2,2,1,2,2
1,1,2,1,1
2,2,2,2,2
1,2,2,2,2
1,1,2,2,2
1,1,2,1,1
1,2,2,2,2
1,1,2,2,2
1,1,1,2,2
2,1,1,2,2
1,1,2,2,2
1,2,1,2,1
1,2,1,1,1
2,1,2,1,2
2,2,1,1,1
1,1,1,1,1
1,1,1,2,1
2,1,1,2,2
1,1,2,2,2
2,2,1,2,2
1,2,2,1,1
1,1,2,2,2
1,2,1,1,1
2,1,2,1,1
1,1,1,2,1
2,2,1,1,1
1,1,2,2,2
1,1,2,1,1
1,1,2,2,2
1,2,2,2,2
1,2,2,1,1
2,2,2,2,2
1,2,1,2,2
2,2,1,1,1
1,1,2,1,1
1,2,2,1,1
2,1,2,2,2
2,2,1,1,1
2,2,1,1,1
1,2,2,1,1
2,2,1,1,2
1,1,1,2,2
1,1,2,2,2
1,2,1,1,1
1,2,1,2,2
1,1,2,1,1
1,2,1,2,2
1,2,2,2,2
1,2,2,2,2
1,2,1,2,2
2,1,1,1,1
1,2,2,2,2
1,2,2,2,2
1,2,2,1,1
1,1,1,1,1
2,1,1,2,2
1,1,1,1,1
1,2,1,1,1
1,1,2,2,2
1,1,1,2,2
2,1,1,2,2
2,2,1,1,1
1,1,1,1,1
2,1,2,1,1
1,2,2,1,1
2,1,2,1,1
2,1,1,1,1
2,1,1,1,1
2,1,2,1,2
2,1,1,2,2
1,2,1,1,1
1,2,1,1,1
2,1,1,1,2
1,1,1,1,1
2,2,1,1,1
2,2,1,2,2
1,1,2,2,1
1,2,1,1,1
1,1,1,2,2
2,1,2,1,1
2,2,1,1,1
2,2,1,1,2
1,1,1,2,2
2,2,2,2,2
1,2,1,1,1
2,1,2,2,2
2,2,2,2,2
1,1,2,2,2
2,2,1,2,2
2,2,2,2,2
2,1,1,2,2
1,1,2,1,1
1,2,2,1,1
1,2,2,1,1
1,2,2,1,1
2,1,2,1,2
1,1,1,2,1
2,2,1,1,1
1,2,2,2,2
1,1,1,2,2
1,1,2,1,1
1,2,2,1,1
2,2,1,2,2
2,1,1,2,2
2,2,2,2,2
1,1,2,2,2
2,2,1,1,1
1,1,2,1,1
1,1,2,1,1
2,1,1,2,2
2,2,2,2,2
1,1,1,1,1
2,2,1,2,2
1,2,2,1,1
1,1,1,2,2
2,2,2,1,2
1,2,1,2,2
1,2,1,1,1
2,1,1,2,2
2,2,2,2,2
2,2,2,2,2
1,2,2,1,1
2,2,1,1,2
2,1,2,2,2
2,2,2,1,1
1,1,1,1,1
2,1,1,1,1
1,1,1,2,2
2,2,1,1,1
2,1,2,1,1
1,1,1,1,1
2,1,2,2,2
1,1,2,2,2
1,2,2,1,1
2,2,1,2,2
1,1,2,2,2
2,2,1,1,1
2,1,1,1,1
1,2,2,1,1
1,1,1,2,1
2,2,2,1,1
2,1,1,2,2
1,2,2,2,2
2,1,2,1,1
2,2,2,2,2
1,2,2,1,1
2,1,1,2,2
1,1,2,1,1
1,2,1,2,2
1,1,2,1,1
2,2,1,1,1
2,2,1,1,1
2,1,2,1,2
1,2,2,2,2
2,1,2,1,1
2,2,1,1,1
2,1,1,2,2
2,1,1,1,1
1,2,1,1,1
2,1,1,1,1
1,2,2,2,2
2,1,2,2,2
1,1,2,1,1
2,2,1,1,2
2,2,1,2,2
2,2,2,1,1
2,1,2,2,2
2,2,2,1,1
2,2,1,2,2
1,1,1,1,1
2,1,1,1,1
2,2,1,1,1
2,2,1,2,2
2,1,1,2,2
2,1,1,2,2
2,1,2,2,2
2,1,2,1,2
2,2,2,2,2
1,2,1,2,2
1,1,1,2,2
2,2,2,2,2
2,2,1,2,2
1,1,2,2,2
1,1,1,2,2
1,1,2,2,2
2,2,2,1,1
1,1,1,2,1
1,2,2,1,1
2,1,2,1,1
2,1,1,1,1
2,2,1,2,2
2,2,1,1,1
2,2,2,1,2
2,1,1,1,1
2,2,1,2,2
2,2,2,2,2
1,1,1,1,1
1,1,2,1,1
2,1,2,1,1
1,1,1,1,1
1,1,1,1,1
1,1,2,2,2
1,1,2,2,2
1,2,1,2,2
1,1,1,1,1
1,1,2,2,2
2,2,2,2,2
1,2,2,2,2
2,2,2,1,2
2,2,1,2,2
2,2,2,1,1
1,1,1,2,2
2,1,2,1,1
1,1,2,2,2
1,2,2,2,2
2,2,2,2,2
2,2,1,1,2
1,1,1,1,1
2,2,1,1,1
1,2,1,2,2
2,2,2,2,2
1,2,2,1,1
2,2,2,2,2
1,2,1,1,1
2,1,1,2,2
1,1,1,2,1
1,1,2,2,1
1,1,1,1,1
1,2,2,2,2
1,1,1,1,1
2,1,2,1,1
1,2,1,1,1
1,2,2,2,2
2,2,2,2,2
1,1,1,1,1
2,1,2,1,1
1,2,2,2,2
2,2,2,1,1
2,2,1,2,2
1,2,1,1,1
1,1,2,1,1
1,2,2,1,1
1,2,1,1,1
1,1,2,2,2
2,1,1,2,2
2,2,2,1,1
1,2,1,1,1
2,2,1,1,1
1,1,1,2,2
2,1,2,2,2
2,1,1,2,2
1,1,2,2,2
2,2,1,2,2
2,2,2,1,1
2,1,2,1,1
2,1,1,1,2
2,2,2,2,2
1,1,1,2,2
1,2,2,2,2
1,1,1,1,1
2,1,1,1,1
2,2,2,2,2
1,2,1,2,1
1,1,1,2,2
