etath,etaiso,triang,coreradius,bt,bscfmax,rmajor,coe,capcost
0.3702,0.67115,0.50283,0.76923,4.0257,0.9316,5.5085,506.4,13480.0
0.37027,0.88715,0.50002,0.78068,3.8516,0.8876,5.8512,576.62,15447.0
0.37029,0.91906,0.51771,0.76317,3.9882,0.89324,5.776,562.19,15000.0
0.37037,0.87611,0.44569,0.79313,3.6031,0.95759,6.9058,856.71,23176.0
0.37045,0.81649,0.56389,0.77381,3.8023,0.97381,6.0731,628.56,16858.0
0.37063,0.9479,0.41621,0.73238,4.0939,0.93905,5.5642,517.98,13789.0
0.37082,0.78411,0.43953,0.75404,4.0972,0.8994,5.3462,475.32,12631.0
0.37084,0.82243,0.56654,0.72058,3.8547,0.92462,6.0497,623.83,16707.0
0.37092,0.6599,0.52611,0.73347,3.7805,0.90191,6.0002,609.88,16380.0
0.37096,0.82285,0.4764,0.78977,4.0616,0.91216,5.4817,501.34,13336.0
0.37104,0.93447,0.55662,0.79633,3.8293,0.90914,5.9823,607.1,16267.0
0.37104,0.66965,0.47113,0.78275,4.0555,0.91445,5.5551,515.95,13736.0
0.37111,0.7801,0.52041,0.72477,4.0018,0.9586,5.6916,544.05,14504.0
0.3712,0.85328,0.44246,0.72439,3.6011,0.96239,6.7394,804.81,21772.0
0.37137,0.7823,0.45591,0.73839,4.0472,0.94458,5.4854,501.71,13355.0
0.3715,0.86682,0.43423,0.70719,3.7942,0.98498,6.1222,639.19,17184.0
0.37156,0.74998,0.4158,0.7755,3.6494,0.94136,6.4656,726.24,19622.0
0.37202,0.66832,0.48549,0.79698,3.833,0.92716,6.0354,619.12,16611.0
0.37204,0.67431,0.52351,0.74213,3.7221,0.91077,6.1743,651.69,17533.0
0.37207,0.72995,0.47009,0.76714,3.6809,0.88456,6.3567,697.75,18817.0
0.37218,0.93134,0.53831,0.75124,3.8526,0.97858,5.7944,563.97,15100.0
0.37222,0.67885,0.56477,0.73454,3.9417,0.90213,5.8025,567.69,15154.0
0.37229,0.81937,0.43849,0.78989,3.7513,0.89102,6.2061,659.47,17753.0
0.37245,0.72831,0.52656,0.77552,4.0672,0.88366,5.518,508.98,13531.0
0.37274,0.84428,0.47542,0.78337,3.7462,0.88809,6.2753,677.58,18237.0
