,nbins_input,nbins_output,prediction_accuracy,train_time,validate_time
"inputs: 3, output: 3",3,3,0.9298736112700409,9.991012811660767,689.378753900528
"inputs: 3, output: 4",3,4,0.9310948504575063,9.526158094406128,702.4439039230347
"inputs: 3, output: 5",3,5,0.9320238899272312,9.549102067947388,713.5621519088745
"inputs: 3, output: 6",3,6,0.9308187203595631,9.984964847564697,704.1993520259857
"inputs: 3, output: 7",3,7,0.9307277070009705,9.673527002334595,707.1097521781921
"inputs: 3, output: 8",3,8,0.9316590313537016,9.519941806793213,689.7772829532623
"inputs: 3, output: 9",3,9,0.9293842948595694,9.53165888786316,699.8838901519775
"inputs: 3, output: 10",3,10,0.9311942766144103,9.904317140579224,686.7471389770508
"inputs: 4, output: 3",4,3,0.9345845410950485,9.323710918426514,683.7704350948334
"inputs: 4, output: 4",4,4,0.929030084593118,9.667897701263428,1148.996948003769
"inputs: 4, output: 5",4,5,0.9299573834619606,9.800027847290039,702.7925519943237
"inputs: 4, output: 6",4,6,0.929931957741584,9.682928800582886,697.0396730899811
"inputs: 4, output: 7",4,7,0.931257250596517,9.744722127914429,705.1156067848206
"inputs: 4, output: 8",4,8,0.9298917760104766,10.316575050354004,741.2578558921814
"inputs: 4, output: 9",4,9,0.931141906756854,10.532588958740234,709.2282590866089
"inputs: 4, output: 10",4,10,0.9310750771340054,10.063765048980713,713.7653691768646
"inputs: 5, output: 3",5,3,0.9285727336588219,10.28669285774231,695.1146702766418
"inputs: 5, output: 4",5,4,0.9326915000021192,10.308748006820679,709.0560359954834
"inputs: 5, output: 5",5,5,0.9291563869711339,10.916626930236816,42670.92200374603
"inputs: 5, output: 6",5,6,0.9280673704085134,9.395244836807251,36578.67482614517
"inputs: 5, output: 7",5,7,0.9291983723453399,9.04981517791748,28515.31505894661
"inputs: 5, output: 8",5,8,0.9288886969015016,9.853379011154175,705.794676065445
"inputs: 5, output: 9",5,9,0.93018072116057,9.4117271900177,706.4471528530121
"inputs: 5, output: 10",5,10,0.93455337683776,9.623963117599487,717.5552988052368
"inputs: 6, output: 3",6,3,0.9296819993812324,10.196544885635376,712.2479417324066
"inputs: 6, output: 4",6,4,0.9314627916364699,9.321519136428833,690.7075519561768
"inputs: 6, output: 5",6,5,0.9311463887935307,9.060344219207764,681.8947079181671
"inputs: 6, output: 6",6,6,0.9316346970583125,9.084256649017334,680.8356900215149
"inputs: 6, output: 7",6,7,0.9298339333468952,9.05876088142395,679.7227692604065
"inputs: 6, output: 8",6,8,0.9314385909481973,9.351311922073364,680.0778419971466
"inputs: 6, output: 9",6,9,0.9317554309544697,9.062438726425171,682.4531259536743
"inputs: 6, output: 10",6,10,0.9299348906349992,9.100366115570068,681.3559989929199
"inputs: 7, output: 3",7,3,0.9331125736905228,9.06559419631958,683.4101061820984
"inputs: 7, output: 4",7,4,0.9308102343475182,9.138625621795654,682.9059183597565
"inputs: 7, output: 5",7,5,0.9313920780833472,9.179764032363892,683.9920608997345
"inputs: 7, output: 6",7,6,0.9327283366814576,9.063661098480225,685.3946719169617
"inputs: 7, output: 7",7,7,0.9300251485465326,9.061945915222168,685.7553431987762
"inputs: 7, output: 8",7,8,0.9293318820909249,9.073442697525024,683.7021050453186
"inputs: 7, output: 9",7,9,0.9303692341271355,9.052351951599121,682.1242830753326
"inputs: 7, output: 10",7,10,0.9325069282865656,9.054187059402466,680.9803080558777
"inputs: 8, output: 3",8,3,0.9299053013735786,9.05305004119873,683.380697965622
"inputs: 8, output: 4",8,4,0.9296757121121578,9.059459924697876,682.2755961418152
"inputs: 8, output: 5",8,5,0.9327761470504718,9.09571886062622,682.9710342884064
"inputs: 8, output: 6",8,6,0.9304485534195368,9.06973123550415,682.4654760360718
"inputs: 8, output: 7",8,7,0.9307509857895427,9.100990772247314,683.3221230506897
"inputs: 8, output: 8",8,8,0.9296322979576441,9.052272081375122,682.573655128479
"inputs: 8, output: 9",8,9,0.9333324098443333,9.113868951797485,682.1038410663605
"inputs: 8, output: 10",8,10,0.929760784457074,9.063331127166748,682.5296771526337
"inputs: 9, output: 3",9,3,0.9302002099994489,9.175689935684204,681.634684085846
"inputs: 9, output: 4",9,4,0.9301888823197839,9.258464097976685,681.3963692188263
"inputs: 9, output: 5",9,5,0.9316464726025947,9.359401226043701,682.3612058162689
"inputs: 9, output: 6",9,6,0.9316766554144256,9.484040260314941,683.7537150382996
"inputs: 9, output: 7",9,7,0.9308524067293062,9.62325406074524,682.2683792114258
"inputs: 9, output: 8",9,8,0.9291608561874611,9.583336114883423,681.8412101268768
"inputs: 9, output: 9",9,9,0.9297812202006333,9.56834888458252,680.7787802219391
"inputs: 9, output: 10",9,10,0.9292644292507404,9.570559978485107,680.5267629623413
"inputs: 10, output: 3",10,3,0.9305562208363529,9.62907075881958,684.2549130916595
"inputs: 10, output: 4",10,4,0.9326658049484429,9.531720876693726,679.2768421173096
"inputs: 10, output: 5",10,5,0.9299910228943901,9.49278473854065,681.9305889606476
"inputs: 10, output: 6",10,6,0.9293644373031917,9.328083038330078,681.3046190738678
"inputs: 10, output: 7",10,7,0.9305964144342305,9.143592834472656,682.345165014267
"inputs: 10, output: 8",10,8,0.9312757962390815,9.211723804473877,685.1779432296753
"inputs: 10, output: 9",10,9,0.9293076984611341,8.996121883392334,682.9777112007141
"inputs: 10, output: 10",10,10,0.9293917629782202,9.105602025985718,681.544912815094
