,nbins_input,nbins_output,prediction_accuracy,train_time,validate_time
"inputs: 3, output: 3",3,3,0.917436,2.4814682006835938,8.337041139602661
"inputs: 3, output: 4",3,4,0.9171760000000001,2.2356860637664795,7.662031888961792
"inputs: 3, output: 5",3,5,0.9142660000000001,2.294752597808838,7.827352285385132
"inputs: 3, output: 6",3,6,0.909861,2.2657361030578613,7.798194885253906
"inputs: 3, output: 7",3,7,0.9107429999999999,2.2291781902313232,7.680738925933838
"inputs: 3, output: 8",3,8,0.913559,2.245748996734619,7.7633278369903564
"inputs: 3, output: 9",3,9,0.9136029999999999,2.244969129562378,7.633602857589722
"inputs: 3, output: 10",3,10,0.90952,2.236359119415283,7.7262489795684814
"inputs: 4, output: 3",4,3,0.913152,2.264708995819092,7.741044044494629
"inputs: 4, output: 4",4,4,0.911448,2.2330880165100098,7.681977033615112
"inputs: 4, output: 5",4,5,0.916942,2.3575661182403564,7.677516937255859
"inputs: 4, output: 6",4,6,0.9138020000000001,2.241076946258545,7.77088475227356
"inputs: 4, output: 7",4,7,0.9139630000000001,2.268990993499756,8.095897912979126
"inputs: 4, output: 8",4,8,0.91217,2.5902130603790283,8.051698923110962
"inputs: 4, output: 9",4,9,0.913295,2.3095288276672363,7.8426430225372314
"inputs: 4, output: 10",4,10,0.9164439999999999,2.2331438064575195,7.655598163604736
"inputs: 5, output: 3",5,3,0.914887,2.2293999195098877,7.842295169830322
"inputs: 5, output: 4",5,4,0.91515,2.2537319660186768,7.652490854263306
"inputs: 5, output: 5",5,5,0.9058849999999999,2.2411022186279297,7.64430570602417
"inputs: 5, output: 6",5,6,0.9122709999999999,2.2744572162628174,7.603164911270142
"inputs: 5, output: 7",5,7,0.9134410000000001,2.2517640590667725,7.659895896911621
"inputs: 5, output: 8",5,8,0.9106840000000002,2.4965219497680664,7.649892807006836
"inputs: 5, output: 9",5,9,0.9120290000000001,2.2502870559692383,7.68670392036438
"inputs: 5, output: 10",5,10,0.921085,2.2673299312591553,7.703012228012085
"inputs: 6, output: 3",6,3,0.9119490000000001,2.2490530014038086,7.662375211715698
"inputs: 6, output: 4",6,4,0.908019,2.2441201210021973,7.616831064224243
"inputs: 6, output: 5",6,5,0.9146430000000001,2.5332369804382324,7.759477138519287
"inputs: 6, output: 6",6,6,0.9176500000000001,2.26228928565979,7.694068908691406
"inputs: 6, output: 7",6,7,0.9085180000000002,2.240617275238037,7.7344489097595215
"inputs: 6, output: 8",6,8,0.9095720000000002,2.2522389888763428,7.696646213531494
"inputs: 6, output: 9",6,9,0.910674,2.2593259811401367,7.982953071594238
"inputs: 6, output: 10",6,10,0.912011,2.4060699939727783,7.6650378704071045
"inputs: 7, output: 3",7,3,0.9185049999999999,2.6489851474761963,7.702937841415405
"inputs: 7, output: 4",7,4,0.915142,2.252951145172119,7.715255975723267
"inputs: 7, output: 5",7,5,0.905642,2.2444968223571777,7.71584677696228
"inputs: 7, output: 6",7,6,0.9130569999999999,2.3215339183807373,7.618297100067139
"inputs: 7, output: 7",7,7,0.9121790000000001,2.2340738773345947,7.680177211761475
"inputs: 7, output: 8",7,8,0.913714,2.318643808364868,7.631550073623657
"inputs: 7, output: 9",7,9,0.913127,2.297818183898926,7.644862174987793
"inputs: 7, output: 10",7,10,0.910388,2.7140309810638428,7.665586948394775
"inputs: 8, output: 3",8,3,0.9150349999999999,2.341883897781372,7.684229135513306
"inputs: 8, output: 4",8,4,0.909916,2.2200608253479004,7.622680902481079
"inputs: 8, output: 5",8,5,0.9111459999999999,2.213300943374634,7.546792984008789
"inputs: 8, output: 6",8,6,0.911073,2.267669916152954,7.6949591636657715
"inputs: 8, output: 7",8,7,0.9101790000000001,2.234467029571533,7.693576097488403
"inputs: 8, output: 8",8,8,0.9108620000000001,2.2099146842956543,7.6569740772247314
"inputs: 8, output: 9",8,9,0.910436,2.261744737625122,7.710599899291992
"inputs: 8, output: 10",8,10,0.914578,2.251729965209961,8.32782506942749
"inputs: 9, output: 3",9,3,0.9080210000000001,2.279334783554077,8.255686044692993
"inputs: 9, output: 4",9,4,0.9143789999999999,2.502634048461914,7.976067066192627
"inputs: 9, output: 5",9,5,0.9085460000000001,2.349524974822998,7.8081090450286865
"inputs: 9, output: 6",9,6,0.9117329999999999,2.234611988067627,7.782871723175049
"inputs: 9, output: 7",9,7,0.915235,2.327836036682129,8.285022020339966
"inputs: 9, output: 8",9,8,0.9065290000000001,2.5650601387023926,8.231908798217773
"inputs: 9, output: 9",9,9,0.9108690000000002,2.3737008571624756,8.275577068328857
"inputs: 9, output: 10",9,10,0.9097000000000002,2.3409509658813477,8.301553010940552
"inputs: 10, output: 3",10,3,0.9106110000000001,2.380859851837158,7.742250919342041
"inputs: 10, output: 4",10,4,0.910094,2.2371280193328857,8.52625298500061
"inputs: 10, output: 5",10,5,0.911204,2.2090909481048584,7.7200539112091064
"inputs: 10, output: 6",10,6,0.9135119999999999,2.2457311153411865,7.6773741245269775
"inputs: 10, output: 7",10,7,0.91195,2.198941946029663,7.623368263244629
"inputs: 10, output: 8",10,8,0.9167400000000001,2.2275900840759277,7.658102989196777
"inputs: 10, output: 9",10,9,0.910196,2.201221227645874,7.601649045944214
"inputs: 10, output: 10",10,10,0.908615,2.204448938369751,7.567414045333862
