run,capcost,fdene,fimp(14),pseprmax,feffcd,aspect,boundu(2),outlet_temp,beta,etanbi
0,6993.0,0.85234375,3.98828125e-05,27.32421875,0.8765625,1.98046875,4.17578125,1051.984375,0.079375,0.2421875
1,6492.2,1.01328125,3.98828125e-05,27.32421875,0.8765625,1.98046875,4.17578125,1051.984375,0.079375,0.2421875
2,6951.2,0.85234375,7.64453125e-05,27.32421875,0.8765625,1.98046875,4.17578125,1051.984375,0.079375,0.2421875
3,6913.3,0.85234375,3.98828125e-05,38.45703125,0.8765625,1.98046875,4.17578125,1051.984375,0.079375,0.2421875
4,6840.5,0.85234375,3.98828125e-05,27.32421875,1.1265625,1.98046875,4.17578125,1051.984375,0.079375,0.2421875
8,4865.0,0.85234375,3.98828125e-05,27.32421875,0.8765625,1.98046875,4.17578125,1051.984375,0.130625,0.2421875
9,6539.1,0.85234375,3.98828125e-05,27.32421875,0.8765625,1.98046875,4.17578125,1051.984375,0.079375,0.3421875
10,5344.2,0.85234375,7.64453125e-05,38.45703125,1.1265625,1.97578125,3.52734375,1021.515625,0.130625,0.3421875
11,5168.6,1.01328125,3.98828125e-05,38.45703125,1.1265625,1.97578125,3.52734375,1021.515625,0.130625,0.3421875
13,5201.0,1.01328125,7.64453125e-05,38.45703125,0.8765625,1.97578125,3.52734375,1021.515625,0.130625,0.3421875
17,8892.9,1.01328125,7.64453125e-05,38.45703125,1.1265625,1.97578125,3.52734375,1021.515625,0.079375,0.3421875
20,4999.5,0.95234375,8.48828125e-05,39.82421875,1.0765625,1.88046875,3.67578125,901.984375,0.15937500000000002,0.44218749999999996
21,5002.9,0.91328125,8.48828125e-05,39.82421875,1.0765625,1.88046875,3.67578125,901.984375,0.15937500000000002,0.44218749999999996
22,5001.3,0.95234375,3.14453125e-05,39.82421875,1.0765625,1.88046875,3.67578125,901.984375,0.15937500000000002,0.44218749999999996
23,5001.1,0.95234375,8.48828125e-05,25.95703125,1.0765625,1.88046875,3.67578125,901.984375,0.15937500000000002,0.44218749999999996
24,5005.1,0.95234375,8.48828125e-05,39.82421875,0.9265625,1.88046875,3.67578125,901.984375,0.15937500000000002,0.44218749999999996
25,5014.3,0.95234375,8.48828125e-05,39.82421875,1.0765625,1.87578125,3.67578125,901.984375,0.15937500000000002,0.44218749999999996
26,4999.5,0.95234375,8.48828125e-05,39.82421875,1.0765625,1.88046875,4.02734375,901.984375,0.15937500000000002,0.44218749999999996
27,5017.2,0.95234375,8.48828125e-05,39.82421875,1.0765625,1.88046875,3.67578125,871.515625,0.15937500000000002,0.44218749999999996
28,16063.0,0.95234375,8.48828125e-05,39.82421875,1.0765625,1.88046875,3.67578125,901.984375,0.050625,0.44218749999999996
29,4975.8,0.95234375,8.48828125e-05,39.82421875,1.0765625,1.88046875,3.67578125,901.984375,0.15937500000000002,0.5421875
