CAPITAL COST 2021 PRICES [million USD],Q_engineering[#],high_grade_heat[MWt],major_radius,aspect_ratio,effective_ion_charge,toroidal_field_on_plasma
4701.66,1.4,514.0,3.559736609458924,1.9099494275438225,1.2970150623274683,5.179261706303805
4615.53,1.0,337.0,3.843735779868439,2.2225737386087188,1.6148817200950372,5.713738292455673
4506.83,1.1,388.0,3.559736609458924,1.9099494275438225,2.2192658273040373,5.205019369310321
4925.45,1.5,673.0,3.559736609458924,1.9099494275438225,1.372208872710907,5.205019369310321
4458.81,1.1,361.0,3.559736609458924,1.9099494275438225,1.751633020706204,5.205019369310321
4941.71,1.2,468.0,3.845150619163178,2.0269562221136512,1.31697528569706,5.257595062255859
4457.13,1.1,360.0,3.559736609458924,1.9099494275438225,1.778928178086109,5.205019369310321
4639.39,1.0,302.0,3.919395290315151,2.069608111082114,2.1390694584184016,5.59689902449702
4670.92,1.3,431.0,3.634791612275876,1.9099494275438225,1.2970150623274683,5.205019369310321
4925.41,1.5,673.0,3.559736609458924,1.9099494275438225,1.3663723083393222,5.205019369310321
4368.62,1.2,390.0,3.519592048742197,2.082089312306369,1.490751534693504,5.371778972446919
4941.4,1.1,436.0,3.841012377757579,1.876890161423692,1.6720526119505323,4.816154012922198
4913.56,1.4,504.0,3.74738969847499,1.9099494275438225,1.2970150623274683,5.205019369310321
4323.95,1.1,327.0,3.559736609458924,1.9741235523547287,1.2970150623274683,5.205019369310321
4431.44,1.1,356.0,3.559736609458924,1.9099494275438225,1.8865407509188672,5.205019369310321
4903.14,1.5,673.0,3.559736609458924,1.914134418823492,1.2970150623274683,5.205019369310321
4463.63,1.1,366.0,3.559736609458924,1.9099494275438225,1.6568582195464754,5.205019369310321
4004.84,1.1,364.0,3.2345423251390457,2.204560123288081,1.3157102079142051,5.669060193002224
5592.0,1.4,697.0,3.9966666069813073,1.9099494275438225,1.2970150623274683,5.205019369310321
4429.26,1.1,354.0,3.559736609458924,1.9099494275438225,1.9007995225878456,5.205019369310321
4497.47,1.1,382.0,3.559736609458924,1.9099494275438225,1.2970150623274683,4.593564324764884
4157.02,1.0,320.0,3.56181691497477,2.328162208388398,1.295281398267782,5.516813537775306
4468.38,1.1,326.0,3.6786810159683223,2.094524902153913,1.2442568631357251,5.932725196238607
4912.63,1.4,503.0,3.74350891036238,1.9099494275438225,1.2970150623274683,5.205019369310321
4601.12,1.3,485.0,3.559736609458924,1.9099494275438225,2.3856165356189063,5.205019369310321
4716.76,1.4,514.0,3.559736609458924,1.9099494275438225,1.2970150623274683,4.991607528412715
5072.94,1.5,613.0,3.748597118945327,1.9356920509403828,1.8182104005041877,5.444948533094475
4389.62,1.1,369.0,3.525266550015658,1.8480015137226111,2.348370785743485,4.1348990416154265
4924.33,1.3,463.0,3.8068082330282778,1.9099494275438225,1.2970150623274683,5.205019369310321
4449.02,1.1,359.0,3.559736609458924,1.9099494275438225,2.1642750174118017,5.205019369310321
4533.05,1.2,407.0,3.559736609458924,1.9099494275438225,1.2970150623274683,4.715143778070342
3777.02,1.0,295.0,3.214536996986226,2.313620059292188,1.331304058697618,5.784082403613866
4937.49,1.5,592.0,3.6572722047567368,1.9099494275438225,1.2970150623274683,5.205019369310321
4361.11,1.2,377.0,3.559736609458924,2.0930048021847805,1.2970150623274683,5.205019369310321
4457.28,1.1,360.0,3.559736609458924,1.9099494275438225,1.7772952870753915,5.205019369310321
4703.74,1.4,514.0,3.559736609458924,1.9099494275438225,1.2970150623274683,4.866062714951113
3918.96,1.1,335.0,3.233968498557715,2.13675947320004,1.5308850327483126,5.2211818230571225
4923.71,1.5,665.0,3.559736609458924,1.9099494275438225,1.560912718269264,5.205019369310321
5199.05,1.3,496.0,3.958632413297892,1.9099494275438225,1.2970150623274683,5.205019369310321
4601.37,1.3,486.0,3.559736609458924,1.9099494275438225,2.398815453046407,5.205019369310321
4712.04,1.4,514.0,3.559736609458924,1.9099494275438225,1.2970150623274683,5.276656430267394
4423.16,1.2,397.0,3.559736609458924,2.052472882777761,1.2970150623274683,5.205019369310321
4579.25,1.2,428.0,3.559736609458924,1.9099494275438225,2.3143813492271925,5.205019369310321
4656.63,1.4,514.0,3.559736609458924,1.9099494275438225,1.2970150623274683,5.113350598173383
4342.02,1.0,322.0,3.559736609458924,1.986180330486501,1.2970150623274683,5.205019369310321
4438.17,1.1,358.0,3.559736609458924,1.9099494275438225,2.1068436474284784,5.205019369310321
4468.74,1.2,370.0,3.559736609458924,1.921669517972275,1.2970150623274683,5.205019369310321
4493.9,1.1,381.0,3.559736609458924,1.9099494275438225,2.206759027231681,5.205019369310321
4713.21,1.4,514.0,3.559736609458924,1.9099494275438225,1.2970150623274683,4.9587517078196015
4745.14,1.2,426.0,3.698303808108904,1.9099494275438225,1.2970150623274683,5.205019369310321
