,capcost,fdene,boundu(10),fimp(14),pseprmax,boundl(103),cboot,feffcd,etaiso,pinjalw,sig_tf_case_max,aspect,boundu(2),outlet_temp,beta,etanbi,etahtp
0,4792.1,0.85234375,1.53640625,3.63671875e-05,24.78515625,1.120703125,1.3875781249999999,1.1453125,0.79921875,46.0546875,737968750.0,1.94765625,4.23828125,1037.921875,0.180625,0.2109375,0.90234375
1,4781.4,0.96328125,1.53640625,3.63671875e-05,24.78515625,1.120703125,1.3875781249999999,1.1453125,0.79921875,46.0546875,737968750.0,1.94765625,4.23828125,1037.921875,0.180625,0.2109375,0.90234375
2,4792.1,0.85234375,1.54109375,3.63671875e-05,24.78515625,1.120703125,1.3875781249999999,1.1453125,0.79921875,46.0546875,737968750.0,1.94765625,4.23828125,1037.921875,0.180625,0.2109375,0.90234375
3,4793.0,0.85234375,1.53640625,1.7382812500000003e-05,24.78515625,1.120703125,1.3875781249999999,1.1453125,0.79921875,46.0546875,737968750.0,1.94765625,4.23828125,1037.921875,0.180625,0.2109375,0.90234375
4,4790.4,0.85234375,1.53640625,3.63671875e-05,33.96484375,1.120703125,1.3875781249999999,1.1453125,0.79921875,46.0546875,737968750.0,1.94765625,4.23828125,1037.921875,0.180625,0.2109375,0.90234375
5,4792.1,0.85234375,1.53640625,3.63671875e-05,24.78515625,1.1066406249999998,1.3875781249999999,1.1453125,0.79921875,46.0546875,737968750.0,1.94765625,4.23828125,1037.921875,0.180625,0.2109375,0.90234375
7,4791.8,0.85234375,1.53640625,3.63671875e-05,24.78515625,1.120703125,1.3875781249999999,1.1546875,0.79921875,46.0546875,737968750.0,1.94765625,4.23828125,1037.921875,0.180625,0.2109375,0.90234375
8,4792.0,0.85234375,1.53640625,3.63671875e-05,24.78515625,1.120703125,1.3875781249999999,1.1453125,0.9367187499999999,46.0546875,737968750.0,1.94765625,4.23828125,1037.921875,0.180625,0.2109375,0.90234375
9,4841.8,0.85234375,1.53640625,3.63671875e-05,24.78515625,1.120703125,1.3875781249999999,1.1453125,0.79921875,51.6796875,737968750.0,1.94765625,4.23828125,1037.921875,0.180625,0.2109375,0.90234375
10,4792.1,0.85234375,1.53640625,3.63671875e-05,24.78515625,1.120703125,1.3875781249999999,1.1453125,0.79921875,46.0546875,722031250.0,1.94765625,4.23828125,1037.921875,0.180625,0.2109375,0.90234375
11,5195.1,0.85234375,1.53640625,3.63671875e-05,24.78515625,1.120703125,1.3875781249999999,1.1453125,0.79921875,46.0546875,737968750.0,1.8179687500000001,4.23828125,1037.921875,0.180625,0.2109375,0.90234375
12,4792.1,0.85234375,1.53640625,3.63671875e-05,24.78515625,1.120703125,1.3875781249999999,1.1453125,0.79921875,46.0546875,737968750.0,1.94765625,4.21484375,1037.921875,0.180625,0.2109375,0.90234375
13,4836.4,0.85234375,1.53640625,3.63671875e-05,24.78515625,1.120703125,1.3875781249999999,1.1453125,0.79921875,46.0546875,737968750.0,1.94765625,4.23828125,944.171875,0.180625,0.2109375,0.90234375
14,5794.2,0.85234375,1.53640625,3.63671875e-05,24.78515625,1.120703125,1.3875781249999999,1.1453125,0.79921875,46.0546875,737968750.0,1.94765625,4.23828125,1037.921875,0.09062500000000001,0.2109375,0.90234375
15,4649.8,0.85234375,1.53640625,3.63671875e-05,24.78515625,1.120703125,1.3875781249999999,1.1453125,0.79921875,46.0546875,737968750.0,1.94765625,4.23828125,1037.921875,0.180625,0.5890625,0.90234375
16,4792.9,0.85234375,1.53640625,3.63671875e-05,24.78515625,1.120703125,1.3875781249999999,1.1453125,0.79921875,46.0546875,737968750.0,1.94765625,4.23828125,1037.921875,0.180625,0.2109375,0.75703125
17,5788.2,0.96328125,1.54109375,1.7382812500000003e-05,33.96484375,1.1066406249999998,1.325859375,1.1546875,0.9367187499999999,51.6796875,722031250.0,1.8179687500000001,4.21484375,944.171875,0.09062500000000001,0.5890625,0.75703125
18,6028.6,0.95234375,1.6364062499999998,8.13671875e-05,37.28515625,0.970703125,1.337578125,0.9453125,0.89921875,51.0546875,677968750.0,1.84765625,3.73828125,887.921875,0.10062499999999999,0.41093749999999996,0.80234375
19,6246.7,0.86328125,1.6364062499999998,8.13671875e-05,37.28515625,0.970703125,1.337578125,0.9453125,0.89921875,51.0546875,677968750.0,1.84765625,3.73828125,887.921875,0.10062499999999999,0.41093749999999996,0.80234375
20,6028.6,0.95234375,1.64109375,8.13671875e-05,37.28515625,0.970703125,1.337578125,0.9453125,0.89921875,51.0546875,677968750.0,1.84765625,3.73828125,887.921875,0.10062499999999999,0.41093749999999996,0.80234375
21,6040.2,0.95234375,1.6364062499999998,6.23828125e-05,37.28515625,0.970703125,1.337578125,0.9453125,0.89921875,51.0546875,677968750.0,1.84765625,3.73828125,887.921875,0.10062499999999999,0.41093749999999996,0.80234375
22,6072.2,0.95234375,1.6364062499999998,8.13671875e-05,21.46484375,0.970703125,1.337578125,0.9453125,0.89921875,51.0546875,677968750.0,1.84765625,3.73828125,887.921875,0.10062499999999999,0.41093749999999996,0.80234375
23,6028.6,0.95234375,1.6364062499999998,8.13671875e-05,37.28515625,0.9566406249999999,1.337578125,0.9453125,0.89921875,51.0546875,677968750.0,1.84765625,3.73828125,887.921875,0.10062499999999999,0.41093749999999996,0.80234375
24,5996.4,0.95234375,1.6364062499999998,8.13671875e-05,37.28515625,0.970703125,1.3758593749999999,0.9453125,0.89921875,51.0546875,677968750.0,1.84765625,3.73828125,887.921875,0.10062499999999999,0.41093749999999996,0.80234375
25,6025.5,0.95234375,1.6364062499999998,8.13671875e-05,37.28515625,0.970703125,1.337578125,0.9546875,0.89921875,51.0546875,677968750.0,1.84765625,3.73828125,887.921875,0.10062499999999999,0.41093749999999996,0.80234375
26,6028.7,0.95234375,1.6364062499999998,8.13671875e-05,37.28515625,0.970703125,1.337578125,0.9453125,0.83671875,51.0546875,677968750.0,1.84765625,3.73828125,887.921875,0.10062499999999999,0.41093749999999996,0.80234375
27,5970.2,0.95234375,1.6364062499999998,8.13671875e-05,37.28515625,0.970703125,1.337578125,0.9453125,0.89921875,46.6796875,677968750.0,1.84765625,3.73828125,887.921875,0.10062499999999999,0.41093749999999996,0.80234375
28,6028.6,0.95234375,1.6364062499999998,8.13671875e-05,37.28515625,0.970703125,1.337578125,0.9453125,0.89921875,51.0546875,662031250.0,1.84765625,3.73828125,887.921875,0.10062499999999999,0.41093749999999996,0.80234375
29,6277.0,0.95234375,1.6364062499999998,8.13671875e-05,37.28515625,0.970703125,1.337578125,0.9453125,0.89921875,51.0546875,677968750.0,1.91796875,3.73828125,887.921875,0.10062499999999999,0.41093749999999996,0.80234375
30,6095.5,0.95234375,1.6364062499999998,8.13671875e-05,37.28515625,0.970703125,1.337578125,0.9453125,0.89921875,51.0546875,677968750.0,1.84765625,3.71484375,887.921875,0.10062499999999999,0.41093749999999996,0.80234375
31,6523.3,0.95234375,1.6364062499999998,8.13671875e-05,37.28515625,0.970703125,1.337578125,0.9453125,0.89921875,51.0546875,677968750.0,1.84765625,3.73828125,794.171875,0.10062499999999999,0.41093749999999996,0.80234375
32,5110.3,0.95234375,1.6364062499999998,8.13671875e-05,37.28515625,0.970703125,1.337578125,0.9453125,0.89921875,51.0546875,677968750.0,1.84765625,3.73828125,887.921875,0.170625,0.41093749999999996,0.80234375
33,6069.0,0.95234375,1.6364062499999998,8.13671875e-05,37.28515625,0.970703125,1.337578125,0.9453125,0.89921875,51.0546875,677968750.0,1.84765625,3.73828125,887.921875,0.10062499999999999,0.3890625,0.80234375
34,6027.1,0.95234375,1.6364062499999998,8.13671875e-05,37.28515625,0.970703125,1.337578125,0.9453125,0.89921875,51.0546875,677968750.0,1.84765625,3.73828125,887.921875,0.10062499999999999,0.41093749999999996,0.85703125
35,4942.8,0.86328125,1.64109375,6.23828125e-05,21.46484375,0.9566406249999999,1.3758593749999999,0.9546875,0.83671875,46.6796875,662031250.0,1.91796875,3.71484375,794.171875,0.170625,0.3890625,0.85703125
36,4980.8,1.00234375,1.48640625,1.38671875e-05,31.03515625,0.8957031249999999,1.362578125,1.0453125,0.94921875,53.5546875,647968750.0,1.89765625,3.98828125,962.921875,0.140625,0.5109375,0.85234375
37,4988.2,0.91328125,1.48640625,1.38671875e-05,31.03515625,0.8957031249999999,1.362578125,1.0453125,0.94921875,53.5546875,647968750.0,1.89765625,3.98828125,962.921875,0.140625,0.5109375,0.85234375
