run,capcost,fdene,fimp(14),pseprmax,feffcd,aspect,boundu(2),outlet_temp,beta,etanbi
0,4899.3,0.8505859375,3.2587890625000004e-05,43.8525390625,1.1964843749999998,1.8916015625,4.0654296875,977.27734375,0.18546875000000002,0.351171875
1,4889.1,1.0330078125,3.2587890625000004e-05,43.8525390625,1.1964843749999998,1.8916015625,4.0654296875,977.27734375,0.18546875000000002,0.351171875
2,4896.9,0.8505859375,9.7978515625e-05,43.8525390625,1.1964843749999998,1.8916015625,4.0654296875,977.27734375,0.18546875000000002,0.351171875
3,4899.7,0.8505859375,3.2587890625000004e-05,41.6552734375,1.1964843749999998,1.8916015625,4.0654296875,977.27734375,0.18546875000000002,0.351171875
4,4913.4,0.8505859375,3.2587890625000004e-05,43.8525390625,0.873046875,1.8916015625,4.0654296875,977.27734375,0.18546875000000002,0.351171875
5,4960.2,0.8505859375,3.2587890625000004e-05,43.8525390625,1.1964843749999998,1.8716796875,4.0654296875,977.27734375,0.18546875000000002,0.351171875
6,4899.3,0.8505859375,3.2587890625000004e-05,43.8525390625,1.1964843749999998,1.8916015625,3.7587890625,977.27734375,0.18546875000000002,0.351171875
7,4873.0,0.8505859375,3.2587890625000004e-05,43.8525390625,1.1964843749999998,1.8916015625,4.0654296875,1040.55859375,0.18546875000000002,0.351171875
8,4912.2,0.8505859375,3.2587890625000004e-05,43.8525390625,1.1964843749999998,1.8916015625,4.0654296875,977.27734375,0.17984375000000002,0.351171875
9,4865.4,0.8505859375,3.2587890625000004e-05,43.8525390625,1.1964843749999998,1.8916015625,4.0654296875,977.27734375,0.18546875000000002,0.45273437499999997
10,4925.5,0.8505859375,9.7978515625e-05,41.6552734375,0.873046875,1.8716796875,3.7587890625,1040.55859375,0.17984375000000002,0.45273437499999997
11,4915.5,1.0330078125,3.2587890625000004e-05,41.6552734375,0.873046875,1.8716796875,3.7587890625,1040.55859375,0.17984375000000002,0.45273437499999997
12,4914.9,1.0330078125,9.7978515625e-05,43.8525390625,0.873046875,1.8716796875,3.7587890625,1040.55859375,0.17984375000000002,0.45273437499999997
13,4905.1,1.0330078125,9.7978515625e-05,41.6552734375,1.1964843749999998,1.8716796875,3.7587890625,1040.55859375,0.17984375000000002,0.45273437499999997
14,4854.2,1.0330078125,9.7978515625e-05,41.6552734375,0.873046875,1.8916015625,3.7587890625,1040.55859375,0.17984375000000002,0.45273437499999997
15,4914.9,1.0330078125,9.7978515625e-05,41.6552734375,0.873046875,1.8716796875,4.0654296875,1040.55859375,0.17984375000000002,0.45273437499999997
16,4938.7,1.0330078125,9.7978515625e-05,41.6552734375,0.873046875,1.8716796875,3.7587890625,977.27734375,0.17984375000000002,0.45273437499999997
17,4902.7,1.0330078125,9.7978515625e-05,41.6552734375,0.873046875,1.8716796875,3.7587890625,1040.55859375,0.18546875000000002,0.45273437499999997
